Name;URL;Author;Price;Number of ratings;Average Rating
Beneath a Scarlet Sky: A Novel;https://www.amazon.in/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;17,089;4.8 out of 5 stars
Brown Bear, Brown Bear, What Do You See?;https://www.amazon.in/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Bill Martin Jr.;$6.08;2,668;4.8 out of 5 stars
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;https://www.amazon.in/Habits-Highly-Effective-People-Powerful/dp/1451639619?_encoding=UTF8&psc=1;Stephen R. Covey;$10.25;4,960;4.5 out of 5 stars
Potty (Leslie Patricelli board books);https://www.amazon.in/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;2,975;4.6 out of 5 stars
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain";https://www.amazon.in/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Dr. Steven R Gundry;$16.70;1,261;4.5 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1;Paulo Coelho;$10.19;11,746;4.6 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President;https://www.amazon.in/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$11.39;327;4.6 out of 5 stars
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals;https://www.amazon.in/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$7.19;2,241;4.1 out of 5 stars
StrengthsFinder 2.0;https://www.amazon.in/StrengthsFinder-2-0-Tom-Rath/dp/159562015X?_encoding=UTF8&psc=1;Tom Rath;$17.79;3,424;4.0 out of 5 stars
Dog Man: From the Creator of Captain Underpants (Dog Man #1);https://www.amazon.in/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1;Dav Pilkey;$6.08;358;4.7 out of 5 stars
The Berenstain Bears' Easter Sunday (Berenstain Bears/Living Lights);https://www.amazon.in/Berenstain-Easter-Sunday-Living-Lights/dp/0310749026?_encoding=UTF8&psc=1;Mike Berenstain;$3.99;65;4.4 out of 5 stars
